Account,Allocation
0x1d8414b6a61e8a06b2902e3f3ebcca82e0a4810d,1738044942961902506795
0x88b6cace7c485db4a33f4da78d10abce5820467f,1715098003152423189022
0x84f4ccc36fc9d5fb1947949ae5572a33ad738667,1708748504152160649028
0x0df349273ba4cc7e3c77d1719a552fac31763513,1692963008231017511207
0x0df0c5aeba738518e91854631ea38db449e06b1c,1671469881975175667321
0xa23cb68780be74b254a5f7210ec6cf1c76289953,1669737619122818159667
0xb1e9d641249a2033c37cf1c241a01e717c2f6c76,1663590923178305274632
0x2df9bca52499f81e577c2cfcfe5491020a5d3bb3,1661646411750349216163
0x82f0d518c6a7735dfe2371cf0c25b9a80d9d554b,1660370856552877967260
0x38ec31504f48c7e944567904d519f4059be73387,1652799673867793444515
0xac0fce58b7bcec501d8a595580d948fdfd8c1877,1640736022908565018952
0xbba61015763488c11c209998db06a3d12fc43340,1635345439879735977229
0xe34bb624055b171d777eccbbfc3baaeeffbe432c,1634134200237147751977
0x02eb66171aa8f78f3e0e6020a816f30a17e006db,1632852885282392207955
0xdb4c9c0ab25976805e1a7869a4a1ed7f6d43a448,1631862831414487800430
0xb820d495fb9a76be0088e06b871aa1b074c42c4b,1618371171071095432126
0xde9e8c5201d7f6d779f5609ec08c896772330148,1615574196198763274879
0x5f153a7d31b315167fe41da83acba1ca7f86e91d,1610604425532324512460
0x3c1104428665110298f111e998229fe079337789,1595614979028815923812
