Account,Allocation,BAL,vlCVX,Voting power,Vote
0x0991d02f28a5283338e9591cbf7de2eb25da46cd,2033448390670741446229,0,79581740000000005238689,0,-
0x8b096af1a5279242908347dfe7229c4fba8d8070,1979608698961808840977,0,77050011266311077633873,0,-
0x7f534820c3931b168b1a46e16f677ae9bc4914b6,1958127088337150325970,0,76043779999999998835847,0,-
0x0df349273ba4cc7e3c77d1719a552fac31763513,1856216102215421869914,0,71301230103204157785513,0,-
0xa23cb68780be74b254a5f7210ec6cf1c76289953,1828055514696064847158,0,70000000000000000000000,0,-
0x5c8898f8e0f9468d4a677887bc03ee2659321012,1777347682298354357044,0,67667288971095316810533,0,-
0x88b6cace7c485db4a33f4da78d10abce5820467f,1777138703200501595347,0,67657703225183315225877,0,-
0xb820d495fb9a76be0088e06b871aa1b074c42c4b,1765923169787324923163,0,67143592674283179803751,0,-
0xed99c6929bba505a2f1a65b9ca156a068fab6427,1706675592834273174958,0,64438905801791188423522,0,-
0xc8034cd0b95655ea6dafbd8cd78bbe98f0b952ae,1673834826604945419604,0,62947927639943482063245,0,-
0x5bc87eb8fe7955e23a461aeaa93dffc308e9e449,1636600977281429777577,0,61264740919681462401059,0,-
0xf70c1cb0a9833ba9613f054db71ab3eaf45060b6,1625719704295520386950,0,60774315381267995689996,0,-
0x55b2d13031eb53831e3bb30a67f8d810e85a3d45,1620390421381616533836,0,60534366272535458847415,0,-
0x34d6dbd097f6b739c59d7467779549aea60e1f84,1594039752074990701658,0,59350319445994646230247,0,-
0xac0fce58b7bcec501d8a595580d948fdfd8c1877,1592311503384650222870,0,59272801220914603618439,0,-
0xd759dd0d8f94e6e93334e2b0fc07a8781590190a,1591505553629510814062,0,59236657340226753149182,0,-
0x0df0c5aeba738518e91854631ea38db449e06b1c,1589293881022447521900,0,59137491225599682366010,0,-
0x5b63b4929094c6a68c39f787939b5b318c47272c,1578404489562999060581,0,58649649656048044562340,0,-
0xd18327bb6d6de9241bed63bb5e78459325fbbd70,1562278727931612593238,0,57928486726012699364219,0,-
0x387acb7f56a6f29137a21d7eb755a3f638cab45b,1560786444097419916943,0,57861826848714183142874,0,-
0xd292b72e5c787f9f7e092ab7802addf76930981f,1530567428495430249313,0,56514774606667087937240,0,-
0x597568694fe6ee1b701ec8578bd57102c9a29abd,1520738756013420015734,0,56077816183100068883505,0,-
0x30f1d1ffad34b24bb8310ad9dd237b854b4daea7,1425627330578473220157,0,51879716831618592550512,0,-
